attribute_id,project,risk,rationale
htan2:GeoMxDSPAssayType,HTAN2,Low,"Describes the assay type used in the GeoMx DSP pipeline — a technical/experimental metadata field about methods. It does not contain personal identifiers, cohort markers, or sensitive clinical/financial information, so it is low sensitivity."
htan:GeoMxDSPAssayType,HTAN,Low,Describes the technical assay type used in the GeoMx DSP pipeline. This is non-personal technical metadata (instrument/assay configuration) and does not contain identifiers or quasi-identifiers that could re-identify individuals.
htan2:GeoMxDSPGenomicReference,HTAN2,Low,This is technical metadata specifying the exact human genome reference version used for alignment (tool/reference version). It does not contain personal identifiers or quasi-identifiers and poses minimal re-identification risk.
htan:GeoMxDSPGenomicReference,HTAN,Low,"This is a technical processing parameter (exact genome reference version used for alignment). It does not contain personal identifiers or quasi-identifiers and is non-personal technical metadata relevant to analysis reproducibility, so sensitivity is Low."
htan2:GeoMxDSPLibraryPreparationKitVendor,HTAN2,Low,"Vendor of library preparation kit (string) — technical/experimental reagent metadata. Non-personal and does not reveal identity, location, or sensitive information; therefore low sensitivity."
htan:GeoMxDSPLibraryPreparationKitVendor,HTAN,Low,Vendor of the library preparation kit is non-personal technical metadata about laboratory reagents/supplies. It does not identify individuals or provide quasi-identifiers and therefore poses low re-identification risk.
htan2:GeoMxDSPLibraryPreparationKitVersion,HTAN2,Low,"Library preparation kit version is non-personal technical metadata about laboratory reagents/protocols. It does not reveal identity, contact, location, clinical, or sensitive behavioral information."
htan:GeoMxDSPLibraryPreparationKitVersion,HTAN,Low,"This is non-personal technical metadata describing the laboratory library preparation kit version (string). It does not reveal identity, demographics, location, or sensitive clinical information, so it is low-sensitivity."
htan2:GeoMxDSPNGSLibraryPreparationKitName,HTAN2,Low,"This is technical laboratory metadata naming the library preparation kit (a reagent/product). It does not contain personal identifiers, quasi-identifiers, location, or sensitive clinical/financial information and therefore poses low re-identification/privacy risk."
htan:GeoMxDSPNGSLibraryPreparationKitName,HTAN,Low,"Name of library preparation kit is non-personal technical metadata (laboratory reagent/kit information). It does not identify individuals or provide sensitive clinical/ demographic information, so it is Low risk."
htan2:GeoMxDSPNGSLibrarySelectionMethod,HTAN2,Low,Describes a laboratory protocol/technical detail (how RNA molecules are isolated). This is non-personal experimental metadata (instrument/process information) that does not identify individuals or reveal sensitive personal/clinical data.
htan2:GeoMxDSPNGSSequencingPlatform,HTAN2,Low,"Specifies the sequencing instrument model/platform — technical, non-personal metadata about equipment used. Does not identify individuals or cohorts and poses low re-identification/privacy risk."
htan:GeoMxDSPNGSSequencingPlatform,HTAN,Low,"Specifies the model of sequencing instrument — technical, non-personal metadata about equipment/software. Does not identify individuals or contain quasi-identifiers; therefore low sensitivity."
htan2:GeoMxDSPUniqueProbeCount,HTAN2,Low,"Count of unique probes is technical experimental metadata (non-personal file-level content). It does not identify individuals, provide demographics, or reveal sensitive clinical/behavioral information, so classification is Low."
htan:GeoMxDSPUniqueProbeCount,HTAN,Low,"This is a technical assay metric (total number of unique probes reported) related to the GeoMx DSP platform. It does not contain personal identifiers, demographic, location, or sensitive clinical information and therefore is non-personal technical metadata."
htan2:GeoMxDSPUniqueTargetCount,HTAN2,Low,"This is an assay-level numeric summary (total number of unique genes reported). It contains no direct identifiers, contact/location, biospecimen IDs, or sensitive clinical information—just non-personal technical metadata."
htan:GeoMxDSPUniqueTargetCount,HTAN,Low,"This attribute is an aggregate technical/biological metric (total number of unique genes reported). It does not contain direct identifiers, quasi-identifiers, or individual-level genomic sequences and therefore poses low re-identification risk."
htan2:GeoMxDSPWorkflowLink,HTAN2,Low,"URL linking to a workflow/command (DockStore recommended). This is technical metadata about processing workflows rather than personal or cohort identifiers, contains no direct identifiers or sensitive clinical/financial information, and thus poses low privacy risk."
htan2:GeoMxDSPWorkflowParameterDescription,HTAN2,Low,"Describes technical parameters used to run the GeoMx DSP workflow — operational/technical metadata about processing settings. It does not contain personal identifiers, demographic or cohort information, or sensitive clinical data, so risk is low."
htan:GeoMxDSPWorkflowParameterDescription,HTAN,Low,"Describes technical parameters used to run the GeoMx DSP analysis workflow (analysis/configuration/instrument settings). This is non-personal technical metadata rather than identifiers or quasi-identifiers, so risk is Low."
htan2:GeoMxDSPWorkflowType,HTAN2,Low,"This describes a generic analysis workflow name for GeoMx DSP data — technical/methodological metadata rather than personal or cohort-identifying information. It does not contain identifiers, sensitive clinical details, or quasi-identifiers, so it is low-risk."
htan:GeoMxDSPWorkflowType,HTAN,Low,"This is technical metadata describing the analysis workflow for GeoMx DSP data (a generic workflow name). It contains no personal identifiers, quasi-identifiers, or sensitive clinical/financial information and therefore is non-personal technical metadata."
